epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.59,1.60443,1.75287,1.67063,0.96695,0.90384,0.95283,0.57807,1.35257,0.65929,1.27133,0.0033276,0.0033276,0.0700516
2,479.806,1.46709,0.89534,1.47782,0.95649,0.91306,0.95008,0.56843,1.42047,0.68424,1.3224,0.0066593,0.0066593,0.04005
3,715.673,1.49212,0.9744,1.54304,0.92472,0.83522,0.91073,0.52462,1.44682,0.88068,1.42865,0.0099845,0.0099845,0.0100419
4,952.518,1.53034,1.0078,1.59481,0.90204,0.8305,0.89817,0.53869,1.42271,0.90723,1.41579,0.00997803,0.00997803,0.00997803
5,1191.35,1.48511,0.93925,1.56559,0.92761,0.86013,0.91336,0.54186,1.39974,0.78394,1.37985,0.00996097,0.00996097,0.00996097
6,1429.74,1.46641,0.89784,1.54604,0.93984,0.89752,0.9311,0.57314,1.3802,0.70475,1.35514,0.00993906,0.00993906,0.00993906
7,1663.63,1.42718,0.85899,1.5214,0.96284,0.91112,0.94696,0.5974,1.31298,0.67532,1.3097,0.00991232,0.00991232,0.00991232
8,1897.34,1.41428,0.83196,1.50627,0.95137,0.91598,0.95186,0.61388,1.24008,0.66371,1.2626,0.00988079,0.00988079,0.00988079
9,2137.38,1.38694,0.81142,1.48796,0.93971,0.88295,0.92764,0.57583,1.34714,0.69089,1.3315,0.00984449,0.00984449,0.00984449
10,2374.81,1.3763,0.79149,1.4712,0.96594,0.90966,0.94979,0.6205,1.21821,0.60597,1.25356,0.00980345,0.00980345,0.00980345
11,2610.41,1.36629,0.78494,1.46974,0.97157,0.91274,0.95696,0.63184,1.22703,0.57153,1.2501,0.00975773,0.00975773,0.00975773
12,2843.91,1.3535,0.76961,1.45847,0.96649,0.92452,0.96023,0.63383,1.21556,0.54928,1.23227,0.00970736,0.00970736,0.00970736
13,3079.68,1.34847,0.75288,1.44839,0.96672,0.93099,0.96104,0.64175,1.19587,0.54503,1.22374,0.00965239,0.00965239,0.00965239
14,3313.27,1.33617,0.75208,1.44732,0.97117,0.91616,0.96001,0.63704,1.22109,0.54794,1.23143,0.00959289,0.00959289,0.00959289
